Nome Atleta,Categoria,Squadra,1 giri Crono atleti contrapposti_CAMPIONATO ITALIANO PISTA  A/J/S,500 m Sprint_CAMPIONATO ITALIANO PISTA  A/J/S,5000 m punti_CAMPIONATO ITALIANO PISTA  A/J/S,10000 m Eliminazione_CAMPIONATO ITALIANO PISTA  A/J/S,3000 m Americana_CAMPIONATO ITALIANO PISTA  A/J/S,1000 m Sprint_CAMPIONATO ITALIANO PISTA  A/J/S,1 giri Crono atleti contrapposti_Campionato italiano su pista cat.R - Trofeo Skate,"1,5 giri Sprint_Campionato italiano su pista cat.R - Trofeo Skate",3000 m punti_Campionato italiano su pista cat.R - Trofeo Skate,5000 m Eliminazione_Campionato italiano su pista cat.R - Trofeo Skate,9 g Americana_Campionato italiano su pista cat.R - Trofeo Skate,2000 m punti_Campionato italiano su pista cat.R - Trofeo Skate,3000 m Eliminazione_Campionato italiano su pista cat.R - Trofeo Skate,Destrezza 2_Giochi Nazionali per Societa' - B.Tiezzi,2 giri Sprint (GE)_Giochi Nazionali per Societa' - B.Tiezzi,Destrezza 1_Giochi Nazionali per Societa' - B.Tiezzi,8 giri In linea_Giochi Nazionali per Societa' - B.Tiezzi,5 giri In linea_Giochi Nazionali per Societa' - B.Tiezzi,42195 m In linea_CAMPIONATO ITALIANO MARATONA J/S/M - CAMPIONATO IT,21.000 m In linea_CAMPIONATO ITALIANO MARATONA J/S/M - CAMPIONATO IT,100 m Sprint in corsia_CAMPIONATO ITALIANO STRADA cat. A/J/S/M,1 giri Sprint_CAMPIONATO ITALIANO STRADA cat. A/J/S/M,10000 m punti_CAMPIONATO ITALIANO STRADA cat. A/J/S/M,15000 m Eliminazione_CAMPIONATO ITALIANO STRADA cat. A/J/S/M,Team sprint_CAMPIONATO ITALIANO STRADA cat. A/J/S/M,5000 m punti_CAMPIONATO ITALIANO STRADA cat. A/J/S/M,10000 m Eliminazione_CAMPIONATO ITALIANO STRADA cat. A/J/S/M,80 m Sprint in corsia_CAMPIONATO ITALIANO STRADA RAGAZZI - TROFEO SKATE,300 m Sprint_CAMPIONATO ITALIANO STRADA RAGAZZI - TROFEO SKATE,3000 m punti_CAMPIONATO ITALIANO STRADA RAGAZZI - TROFEO SKATE,5000 m Eliminazione_CAMPIONATO ITALIANO STRADA RAGAZZI - TROFEO SKATE,Team sprint_CAMPIONATO ITALIANO STRADA RAGAZZI - TROFEO SKATE,200 m Sprint_CAMPIONATO ITALIANO STRADA RAGAZZI - TROFEO SKATE,2000 m punti_CAMPIONATO ITALIANO STRADA RAGAZZI - TROFEO SKATE,3000 m Eliminazione_CAMPIONATO ITALIANO STRADA RAGAZZI - TROFEO SKATE,1 giri Crono atleti contrapposti_CAMPIONATO ITALIANO INDOOR  RAGAZZI - TROFEO SKATE,"1,5 giri Sprint_CAMPIONATO ITALIANO INDOOR  RAGAZZI - TROFEO SKATE",3000 m punti_CAMPIONATO ITALIANO INDOOR  RAGAZZI - TROFEO SKATE,9 g Americana_CAMPIONATO ITALIANO INDOOR  RAGAZZI - TROFEO SKATE,2000 m punti_CAMPIONATO ITALIANO INDOOR  RAGAZZI - TROFEO SKATE,1 giri Crono atleti contr._CAMPIONATO ITALIANO INDOOR CAT.  A/J/S,1000 m Sprint_CAMPIONATO ITALIANO INDOOR CAT.  A/J/S,5000 m punti_CAMPIONATO ITALIANO INDOOR CAT.  A/J/S,3000 m Americana_CAMPIONATO ITALIANO INDOOR CAT.  A/J/S,3000 m punti_CAMPIONATO ITALIANO INDOOR CAT.  A/J/S
ZINGARETTI REBECCA,JUNIORES F,LUNA SPORTS ACADEMY (AN),,"{'classifica': '12', 'pettorina': '463', 'squadra': 'LUNA SPORTS ACADEMY (AN)', 'tempo': '49.165', 'punti': ''}","{'classifica': '35', 'pettorina': '463', 'squadra': 'LUNA SPORTS ACADEMY (AN)', 'tempo': '', 'punti': ''}","{'classifica': '25', 'pettorina': '463', 'squadra': 'LUNA SPORTS ACADEMY (AN)', 'tempo': '', 'punti': ''}",,,,,,,,,,,,,,,"{'classifica': '41', 'pettorina': '463', 'squadra': 'LUNA SPORTS ACADEMY (AN)', 'tempo': '', 'punti': ''}",,,"{'classifica': '24', 'pettorina': '463', 'squadra': 'LUNA SPORTS ACADEMY (AN)', 'tempo': '40.131', 'punti': ''}","{'classifica': '29', 'pettorina': '463', 'squadra': 'LUNA SPORTS ACADEMY (AN)', 'tempo': '', 'punti': ''}","{'classifica': '25', 'pettorina': '463', 'squadra': 'LUNA SPORTS ACADEMY (AN)', 'tempo': '', 'punti': ''}",,,,,,,,,,,,,,,,,,"{'classifica': '36', 'pettorina': '463', 'squadra': 'LUNA SPORTS ACADEMY (AN)', 'tempo': '01.50.920', 'punti': ''}","{'classifica': '37', 'pettorina': '463', 'squadra': 'LUNA SPORTS ACADEMY (AN)', 'tempo': '', 'punti': ''}",,
CORRADINI LEA,JUNIORES F,POL. BELLUSCO (MB),,"{'classifica': '13', 'pettorina': '76', 'squadra': 'POL. BELLUSCO (MB)', 'tempo': '49.296', 'punti': ''}",,"{'classifica': '16', 'pettorina': '76', 'squadra': 'POL. BELLUSCO (MB)', 'tempo': '', 'punti': ''}",,"{'classifica': '16', 'pettorina': '76', 'squadra': 'POL. BELLUSCO (MB)', 'tempo': '01.35.377', 'punti': ''}",,,,,,,,,,,,,"{'classifica': '30', 'pettorina': '76', 'squadra': 'POL. BELLUSCO (MB)', 'tempo': '', 'punti': ''}",,,"{'classifica': '27', 'pettorina': '76', 'squadra': 'POL. BELLUSCO (MB)', 'tempo': '40.217', 'punti': ''}","{'classifica': '25', 'pettorina': '76', 'squadra': 'POL. BELLUSCO (MB)', 'tempo': '', 'punti': ''}","{'classifica': '21', 'pettorina': '76', 'squadra': 'POL. BELLUSCO (MB)', 'tempo': '', 'punti': ''}",,,,,,,,,,,,,,,,,,"{'classifica': '31', 'pettorina': '76', 'squadra': 'POL. BELLUSCO (MB)', 'tempo': '01.49.674', 'punti': ''}","{'classifica': '17', 'pettorina': '76', 'squadra': 'POL. BELLUSCO (MB)', 'tempo': '', 'punti': ''}",,
CASTORINA MARTINA,JUNIORES F,DIAVOLI ROSSI (CT),,,"{'classifica': '1', 'pettorina': '458', 'squadra': 'DIAVOLI ROSSI (CT)', 'tempo': '', 'punti': '36'}","{'classifica': '4', 'pettorina': '458', 'squadra': 'DIAVOLI ROSSI (CT)', 'tempo': '16.57.521', 'punti': ''}",,"{'classifica': '5', 'pettorina': '458', 'squadra': 'DIAVOLI ROSSI (CT)', 'tempo': '01.39.005', 'punti': ''}",,,,,,,,,,,,,"{'classifica': '4', 'pettorina': '458', 'squadra': 'DIAVOLI ROSSI (CT)', 'tempo': '', 'punti': ''}",,,"{'classifica': '10', 'pettorina': '458', 'squadra': 'DIAVOLI ROSSI (CT)', 'tempo': '38.703', 'punti': ''}","{'classifica': '1', 'pettorina': '458', 'squadra': 'DIAVOLI ROSSI (CT)', 'tempo': '', 'punti': '13'}","{'classifica': '2', 'pettorina': '458', 'squadra': 'DIAVOLI ROSSI (CT)', 'tempo': '25.53.404', 'punti': ''}",,,,,,,,,,,,,,,,,,"{'classifica': '3', 'pettorina': '458', 'squadra': 'DIAVOLI ROSSI (CT)', 'tempo': '01.45.279', 'punti': ''}","{'classifica': '2', 'pettorina': '458', 'squadra': 'DIAVOLI ROSSI (CT)', 'tempo': '', 'punti': '18'}",,
BEDON JULIA,JUNIORES F,POL. BELLUSCO (MB),,,"{'classifica': '2', 'pettorina': '42', 'squadra': 'POL. BELLUSCO (MB)', 'tempo': '', 'punti': '27'}","{'classifica': '5', 'pettorina': '42', 'squadra': 'POL. BELLUSCO (MB)', 'tempo': '16.58.276', 'punti': ''}",,"{'classifica': '6', 'pettorina': '42', 'squadra': 'POL. BELLUSCO (MB)', 'tempo': '01.39.205', 'punti': ''}",,,,,,,,,,,,,"{'classifica': '6', 'pettorina': '42', 'squadra': 'POL. BELLUSCO (MB)', 'tempo': '', 'punti': ''}",,,"{'classifica': '5', 'pettorina': '42', 'squadra': 'POL. BELLUSCO (MB)', 'tempo': '38.712', 'punti': ''}","{'classifica': '8', 'pettorina': '42', 'squadra': 'POL. BELLUSCO (MB)', 'tempo': '', 'punti': '4'}","{'classifica': '4', 'pettorina': '42', 'squadra': 'POL. BELLUSCO (MB)', 'tempo': '25.55.576', 'punti': ''}",,,,,,,,,,,,,,,,,,"{'classifica': '10', 'pettorina': '42', 'squadra': 'POL. BELLUSCO (MB)', 'tempo': '01.45.588', 'punti': ''}","{'classifica': '13', 'pettorina': '42', 'squadra': 'POL. BELLUSCO (MB)', 'tempo': '', 'punti': ''}",,
FOLLI ELISA,JUNIORES F,DEBBY ROLLER TEAM (RM),,,"{'classifica': '3', 'pettorina': '432', 'squadra': 'DEBBY ROLLER TEAM (RM)', 'tempo': '', 'punti': '4'}","{'classifica': '1', 'pettorina': '432', 'squadra': 'DEBBY ROLLER TEAM (RM)', 'tempo': '16.57.277', 'punti': ''}",,"{'classifica': '2', 'pettorina': '432', 'squadra': 'DEBBY ROLLER TEAM (RM)', 'tempo': '01.38.242', 'punti': ''}",,,,,,,,,,,,,"{'classifica': '12', 'pettorina': '432', 'squadra': 'DEBBY ROLLER TEAM (RM)', 'tempo': '', 'punti': ''}",,,"{'classifica': '12', 'pettorina': '432', 'squadra': 'DEBBY ROLLER TEAM (RM)', 'tempo': '38.893', 'punti': ''}","{'classifica': '3', 'pettorina': '432', 'squadra': 'DEBBY ROLLER TEAM (RM)', 'tempo': '', 'punti': '6'}","{'classifica': '1', 'pettorina': '432', 'squadra': 'DEBBY ROLLER TEAM (RM)', 'tempo': '25.53.384', 'punti': ''}",,,,,,,,,,,,,,,,,,"{'classifica': '1', 'pettorina': '432', 'squadra': 'DEBBY ROLLER TEAM (RM)', 'tempo': '01.44.569', 'punti': ''}","{'classifica': '1', 'pettorina': '432', 'squadra': 'DEBBY ROLLER TEAM (RM)', 'tempo': '', 'punti': '23'}",,
CASTORINA GIORGIA,JUNIORES F,DIAVOLI ROSSI (CT),,,"{'classifica': '4', 'pettorina': '459', 'squadra': 'DIAVOLI ROSSI (CT)', 'tempo': '', 'punti': '1'}","{'classifica': '6', 'pettorina': '459', 'squadra': 'DIAVOLI ROSSI (CT)', 'tempo': '', 'punti': ''}",,"{'classifica': '9', 'pettorina': '459', 'squadra': 'DIAVOLI ROSSI (CT)', 'tempo': '01.34.323', 'punti': ''}",,,,,,,,,,,,,"{'classifica': '5', 'pettorina': '459', 'squadra': 'DIAVOLI ROSSI (CT)', 'tempo': '', 'punti': ''}",,,"{'classifica': '14', 'pettorina': '459', 'squadra': 'DIAVOLI ROSSI (CT)', 'tempo': '39.109', 'punti': ''}","{'classifica': '16', 'pettorina': '459', 'squadra': 'DIAVOLI ROSSI (CT)', 'tempo': '', 'punti': '2'}","{'classifica': '3', 'pettorina': '459', 'squadra': 'DIAVOLI ROSSI (CT)', 'tempo': '25.53.619', 'punti': ''}",,,,,,,,,,,,,,,,,,"{'classifica': '30', 'pettorina': '459', 'squadra': 'DIAVOLI ROSSI (CT)', 'tempo': '01.49.504', 'punti': ''}","{'classifica': '7', 'pettorina': '459', 'squadra': 'DIAVOLI ROSSI (CT)', 'tempo': '', 'punti': '2'}",,
BATTIATO SOFIA,JUNIORES F,DIAVOLI ROSSI (CT),,,"{'classifica': '5', 'pettorina': '343', 'squadra': 'DIAVOLI ROSSI (CT)', 'tempo': '', 'punti': '1'}","{'classifica': '20', 'pettorina': '343', 'squadra': 'DIAVOLI ROSSI (CT)', 'tempo': '', 'punti': ''}",,"{'classifica': '13', 'pettorina': '343', 'squadra': 'DIAVOLI ROSSI (CT)', 'tempo': '01.34.882', 'punti': ''}",,,,,,,,,,,,,"{'classifica': '7', 'pettorina': '343', 'squadra': 'DIAVOLI ROSSI (CT)', 'tempo': '', 'punti': ''}",,,"{'classifica': '23', 'pettorina': '343', 'squadra': 'DIAVOLI ROSSI (CT)', 'tempo': '40.114', 'punti': ''}","{'classifica': '13', 'pettorina': '343', 'squadra': 'DIAVOLI ROSSI (CT)', 'tempo': '', 'punti': '2'}","{'classifica': '20', 'pettorina': '343', 'squadra': 'DIAVOLI ROSSI (CT)', 'tempo': '', 'punti': ''}",,,,,,,,,,,,,,,,,,"{'classifica': '14', 'pettorina': '343', 'squadra': 'DIAVOLI ROSSI (CT)', 'tempo': '01.46.329', 'punti': ''}","{'classifica': '12', 'pettorina': '343', 'squadra': 'DIAVOLI ROSSI (CT)', 'tempo': '', 'punti': ''}",,
IANNARELLI GIORGIA,JUNIORES F,POL. BELLUSCO (MB),,,"{'classifica': '6', 'pettorina': '48', 'squadra': 'POL. BELLUSCO (MB)', 'tempo': '', 'punti': ''}","{'classifica': '3', 'pettorina': '48', 'squadra': 'POL. BELLUSCO (MB)', 'tempo': '16.57.355', 'punti': ''}",,"{'classifica': '18', 'pettorina': '48', 'squadra': 'POL. BELLUSCO (MB)', 'tempo': '01.36.332', 'punti': ''}",,,,,,,,,,,,,"{'classifica': '15', 'pettorina': '48', 'squadra': 'POL. BELLUSCO (MB)', 'tempo': '', 'punti': ''}",,,"{'classifica': '18', 'pettorina': '48', 'squadra': 'POL. BELLUSCO (MB)', 'tempo': '39.846', 'punti': ''}","{'classifica': '2', 'pettorina': '48', 'squadra': 'POL. BELLUSCO (MB)', 'tempo': '', 'punti': '6'}","{'classifica': '', 'pettorina': '48', 'squadra': 'POL. BELLUSCO (MB)', 'tempo': '', 'punti': 'Squalif'}",,,,,,,,,,,,,,,,,,"{'classifica': '4', 'pettorina': '48', 'squadra': 'POL. BELLUSCO (MB)', 'tempo': '01.45.280', 'punti': ''}","{'classifica': '4', 'pettorina': '48', 'squadra': 'POL. BELLUSCO (MB)', 'tempo': '', 'punti': '8'}",,
CLEMENTONI SOFIA,JUNIORES F,ROLLING BOSICA (TE),,,"{'classifica': '7', 'pettorina': '424', 'squadra': 'ROLLING BOSICA (TE)', 'tempo': '', 'punti': ''}","{'classifica': '2', 'pettorina': '424', 'squadra': 'ROLLING BOSICA (TE)', 'tempo': '16.57.333', 'punti': ''}",,"{'classifica': '7', 'pettorina': '424', 'squadra': 'ROLLING BOSICA (TE)', 'tempo': '01.39.700', 'punti': ''}",,,,,,,,,,,,,"{'classifica': '2', 'pettorina': '424', 'squadra': 'ROLLING BOSICA (TE)', 'tempo': '', 'punti': '1.16.06'}",,,"{'classifica': '6', 'pettorina': '424', 'squadra': 'ROLLING BOSICA (TE)', 'tempo': '38.877', 'punti': ''}","{'classifica': '5', 'pettorina': '424', 'squadra': 'ROLLING BOSICA (TE)', 'tempo': '', 'punti': '4'}","{'classifica': '5', 'pettorina': '424', 'squadra': 'ROLLING BOSICA (TE)', 'tempo': '26.11.355', 'punti': ''}",,,,,,,,,,,,,,,,,,"{'classifica': '11', 'pettorina': '424', 'squadra': 'ROLLING BOSICA (TE)', 'tempo': '01.45.625', 'punti': ''}","{'classifica': '19', 'pettorina': '424', 'squadra': 'ROLLING BOSICA (TE)', 'tempo': '', 'punti': ''}",,
TROV� EMMA,JUNIORES F,ALTE CECCATO CLUB (VI),,,"{'classifica': '8', 'pettorina': '233', 'squadra': 'ALTE CECCATO CLUB (VI)', 'tempo': '', 'punti': ''}","{'classifica': '19', 'pettorina': '233', 'squadra': 'ALTE CECCATO CLUB (VI)', 'tempo': '', 'punti': ''}",,"{'classifica': '49', 'pettorina': '233', 'squadra': 'ALTE CECCATO CLUB (VI)', 'tempo': '01.47.337', 'punti': ''}",,,,,,,,,,,,,"{'classifica': '18', 'pettorina': '233', 'squadra': 'ALTE CECCATO CLUB (VI)', 'tempo': '', 'punti': ''}",,,,,,,,,,,,,,,,,,,,,,,,,,
BIONDI MATILDE,JUNIORES F,ROLLING BOSICA (TE),,,"{'classifica': '9', 'pettorina': '180', 'squadra': 'ROLLING BOSICA (TE)', 'tempo': '', 'punti': ''}","{'classifica': '7', 'pettorina': '180', 'squadra': 'ROLLING BOSICA (TE)', 'tempo': '', 'punti': ''}",,"{'classifica': '21', 'pettorina': '180', 'squadra': 'ROLLING BOSICA (TE)', 'tempo': '01.36.818', 'punti': ''}",,,,,,,,,,,,,"{'classifica': '3', 'pettorina': '180', 'squadra': 'ROLLING BOSICA (TE)', 'tempo': '', 'punti': '1.16.07'}",,,"{'classifica': '', 'pettorina': '180', 'squadra': 'ROLLING BOSICA (TE)', 'tempo': '', 'punti': 'NP'}","{'classifica': '19', 'pettorina': '180', 'squadra': 'ROLLING BOSICA (TE)', 'tempo': '', 'punti': '1'}","{'classifica': '6', 'pettorina': '180', 'squadra': 'ROLLING BOSICA (TE)', 'tempo': '', 'punti': ''}",,,,,,,,,,,,,,,,,,"{'classifica': '5', 'pettorina': '180', 'squadra': 'ROLLING BOSICA (TE)', 'tempo': '01.46.716', 'punti': ''}","{'classifica': '6', 'pettorina': '180', 'squadra': 'ROLLING BOSICA (TE)', 'tempo': '', 'punti': '4'}",,
DI MARTINO ROBERTA,JUNIORES F,ASD CITTA' DI PRIOLO (SR),,,"{'classifica': '10', 'pettorina': '489', 'squadra': ""ASD CITTA' DI PRIOLO (SR)"", 'tempo': '', 'punti': ''}","{'classifica': '8', 'pettorina': '489', 'squadra': ""ASD CITTA' DI PRIOLO (SR)"", 'tempo': '', 'punti': ''}",,"{'classifica': '28', 'pettorina': '489', 'squadra': ""ASD CITTA' DI PRIOLO (SR)"", 'tempo': '01.37.260', 'punti': ''}",,,,,,,,,,,,,"{'classifica': '', 'pettorina': '489', 'squadra': ""ASD CITTA' DI PRIOLO (SR)"", 'tempo': '', 'punti': 'NP'}",,,"{'classifica': '30', 'pettorina': '489', 'squadra': ""ASD CITTA' DI PRIOLO (SR)"", 'tempo': '40.368', 'punti': ''}","{'classifica': '14', 'pettorina': '489', 'squadra': ""ASD CITTA' DI PRIOLO (SR)"", 'tempo': '', 'punti': '2'}","{'classifica': '', 'pettorina': '489', 'squadra': ""ASD CITTA' DI PRIOLO (SR)"", 'tempo': '', 'punti': 'NP'}",,,,,,,,,,,,,,,,,,"{'classifica': '38', 'pettorina': '489', 'squadra': ""ASD CITTA' DI PRIOLO (SR)"", 'tempo': '01.50.977', 'punti': ''}","{'classifica': '10', 'pettorina': '489', 'squadra': ""ASD CITTA' DI PRIOLO (SR)"", 'tempo': '', 'punti': ''}",,
ZANELLA CECILIA,JUNIORES F,CARDANO SKATING (VA),,,"{'classifica': '11', 'pettorina': '498', 'squadra': 'CARDANO SKATING (VA)', 'tempo': '', 'punti': ''}","{'classifica': '13', 'pettorina': '498', 'squadra': 'CARDANO SKATING (VA)', 'tempo': '', 'punti': ''}",,"{'classifica': '40', 'pettorina': '498', 'squadra': 'CARDANO SKATING (VA)', 'tempo': '01.38.578', 'punti': ''}",,,,,,,,,,,,,"{'classifica': '16', 'pettorina': '498', 'squadra': 'CARDANO SKATING (VA)', 'tempo': '', 'punti': ''}",,,"{'classifica': '41', 'pettorina': '498', 'squadra': 'CARDANO SKATING (VA)', 'tempo': '41.093', 'punti': ''}","{'classifica': '23', 'pettorina': '498', 'squadra': 'CARDANO SKATING (VA)', 'tempo': '', 'punti': ''}","{'classifica': '28', 'pettorina': '498', 'squadra': 'CARDANO SKATING (VA)', 'tempo': '', 'punti': ''}",,,,,,,,,,,,,,,,,,,,,
LIBRALESSO NOEMI,JUNIORES F,AZZURRA PATT. (PD),,,"{'classifica': '12', 'pettorina': '493', 'squadra': 'AZZURRA PATT. (PD)', 'tempo': '', 'punti': ''}","{'classifica': '12', 'pettorina': '493', 'squadra': 'AZZURRA PATT. (PD)', 'tempo': '', 'punti': ''}",,"{'classifica': '12', 'pettorina': '493', 'squadra': 'AZZURRA PATT. (PD)', 'tempo': '01.34.814', 'punti': ''}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SERAFIN GIULIA,JUNIORES F,S.S.D.S.MENS SANA (SI),,,"{'classifica': '13', 'pettorina': '442', 'squadra': 'S.S.D.S.MENS SANA (SI)', 'tempo': '', 'punti': ''}","{'classifica': '14', 'pettorina': '442', 'squadra': 'S.S.D.S.MENS SANA (SI)', 'tempo': '', 'punti': ''}",,"{'classifica': '20', 'pettorina': '442', 'squadra': 'S.S.D.S.MENS SANA (SI)', 'tempo': '01.36.612', 'punti': ''}",,,,,,,,,,,,,"{'classifica': '10', 'pettorina': '442', 'squadra': 'S.S.D.S.MENS SANA (SI)', 'tempo': '', 'punti': ''}",,,"{'classifica': '50', 'pettorina': '442', 'squadra': 'S.S.D.S.MENS SANA (SI)', 'tempo': '41.849', 'punti': ''}","{'classifica': '7', 'pettorina': '442', 'squadra': 'S.S.D.S.MENS SANA (SI)', 'tempo': '', 'punti': '4'}","{'classifica': '7', 'pettorina': '442', 'squadra': 'S.S.D.S.MENS SANA (SI)', 'tempo': '', 'punti': ''}",,,,,,,,,,,,,,,,,,"{'classifica': '24', 'pettorina': '442', 'squadra': 'S.S.D.S.MENS SANA (SI)', 'tempo': '01.52.224', 'punti': ''}","{'classifica': '5', 'pettorina': '442', 'squadra': 'S.S.D.S.MENS SANA (SI)', 'tempo': '', 'punti': '7'}",,
ALBERA ANNA,JUNIORES F,ALTE CECCATO CLUB (VI),,,"{'classifica': '14', 'pettorina': '483', 'squadra': 'ALTE CECCATO CLUB (VI)', 'tempo': '', 'punti': ''}","{'classifica': '17', 'pettorina': '483', 'squadra': 'ALTE CECCATO CLUB (VI)', 'tempo': '', 'punti': ''}",,"{'classifica': '31', 'pettorina': '483', 'squadra': 'ALTE CECCATO CLUB (VI)', 'tempo': '01.37.743', 'punti': ''}",,,,,,,,,,,,,"{'classifica': '49', 'pettorina': '483', 'squadra': 'ALTE CECCATO CLUB (VI)', 'tempo': '', 'punti': ''}",,,"{'classifica': '29', 'pettorina': '483', 'squadra': 'ALTE CECCATO CLUB (VI)', 'tempo': '40.302', 'punti': ''}","{'classifica': '22', 'pettorina': '483', 'squadra': 'ALTE CECCATO CLUB (VI)', 'tempo': '', 'punti': '1'}","{'classifica': '15', 'pettorina': '483', 'squadra': 'ALTE CECCATO CLUB (VI)', 'tempo': '', 'punti': ''}",,,,,,,,,,,,,,,,,,"{'classifica': '18', 'pettorina': '483', 'squadra': 'ALTE CECCATO CLUB (VI)', 'tempo': '01.46.972', 'punti': ''}","{'classifica': '31', 'pettorina': '483', 'squadra': 'ALTE CECCATO CLUB (VI)', 'tempo': '', 'punti': ''}",,
SARANITI MARZIA,JUNIORES F,DIAVOLI ROSSI (CT),,,"{'classifica': '15', 'pettorina': '461', 'squadra': 'DIAVOLI ROSSI (CT)', 'tempo': '', 'punti': ''}","{'classifica': '31', 'pettorina': '461', 'squadra': 'DIAVOLI ROSSI (CT)', 'tempo': '', 'punti': ''}",,"{'classifica': '51', 'pettorina': '461', 'squadra': 'DIAVOLI ROSSI (CT)', 'tempo': '01.48.174', 'punti': ''}",,,,,,,,,,,,,"{'classifica': '27', 'pettorina': '461', 'squadra': 'DIAVOLI ROSSI (CT)', 'tempo': '', 'punti': ''}",,,"{'classifica': '42', 'pettorina': '461', 'squadra': 'DIAVOLI ROSSI (CT)', 'tempo': '41.127', 'punti': ''}","{'classifica': '30', 'pettorina': '461', 'squadra': 'DIAVOLI ROSSI (CT)', 'tempo': '', 'punti': ''}","{'classifica': '33', 'pettorina': '461', 'squadra': 'DIAVOLI ROSSI (CT)', 'tempo': '', 'punti': ''}",,,,,,,,,,,,,,,,,,"{'classifica': '40', 'pettorina': '461', 'squadra': 'DIAVOLI ROSSI (CT)', 'tempo': '01.51.173', 'punti': ''}","{'classifica': '31', 'pettorina': '461', 'squadra': 'DIAVOLI ROSSI (CT)', 'tempo': '', 'punti': ''}",,
ROCCHETTI SUSANNA,JUNIORES F,BI ROLLER (BI),,,"{'classifica': '16', 'pettorina': '318', 'squadra': 'BI ROLLER (BI)', 'tempo': '', 'punti': ''}","{'classifica': '11', 'pettorina': '318', 'squadra': 'BI ROLLER (BI)', 'tempo': '', 'punti': ''}",,"{'classifica': '23', 'pettorina': '318', 'squadra': 'BI ROLLER (BI)', 'tempo': '01.37.488', 'punti': ''}",,,,,,,,,,,,,"{'classifica': '13', 'pettorina': '318', 'squadra': 'BI ROLLER (BI)', 'tempo': '', 'punti': ''}",,"{'classifica': '19', 'pettorina': '318', 'squadra': 'BI ROLLER (BI)', 'tempo': '11.473', 'punti': ''}",,"{'classifica': '24', 'pettorina': '318', 'squadra': 'BI ROLLER (BI)', 'tempo': '', 'punti': ''}","{'classifica': '29', 'pettorina': '318', 'squadra': 'BI ROLLER (BI)', 'tempo': '', 'punti': ''}",,,,,,,,,,,,,,,,,,"{'classifica': '27', 'pettorina': '318', 'squadra': 'BI ROLLER (BI)', 'tempo': '01.49.013', 'punti': ''}","{'classifica': '28', 'pettorina': '318', 'squadra': 'BI ROLLER (BI)', 'tempo': '', 'punti': ''}",,
TOGNINI EVA,JUNIORES F,LUNA SPORTS ACADEMY (AN),,,"{'classifica': '18', 'pettorina': '468', 'squadra': 'LUNA SPORTS ACADEMY (AN)', 'tempo': '', 'punti': ''}","{'classifica': '33', 'pettorina': '468', 'squadra': 'LUNA SPORTS ACADEMY (AN)', 'tempo': '', 'punti': ''}",,"{'classifica': '29', 'pettorina': '468', 'squadra': 'LUNA SPORTS ACADEMY (AN)', 'tempo': '01.37.403', 'punti': ''}",,,,,,,,,,,,,,,,"{'classifica': '45', 'pettorina': '468', 'squadra': 'LUNA SPORTS ACADEMY (AN)', 'tempo': '41.415', 'punti': ''}","{'classifica': '33', 'pettorina': '468', 'squadra': 'LUNA SPORTS ACADEMY (AN)', 'tempo': '', 'punti': ''}","{'classifica': '31', 'pettorina': '468', 'squadra': 'LUNA SPORTS ACADEMY (AN)', 'tempo': '', 'punti': ''}",,,,,,,,,,,,,,,,,,"{'classifica': '43', 'pettorina': '468', 'squadra': 'LUNA SPORTS ACADEMY (AN)', 'tempo': '01.53.693', 'punti': ''}","{'classifica': '16', 'pettorina': '468', 'squadra': 'LUNA SPORTS ACADEMY (AN)', 'tempo': '', 'punti': ''}",,
MINGHI MARGHERITA,JUNIORES F,S.S.D.S.MENS SANA (SI),,,"{'classifica': '19', 'pettorina': '221', 'squadra': 'S.S.D.S.MENS SANA (SI)', 'tempo': '', 'punti': ''}","{'classifica': '23', 'pettorina': '221', 'squadra': 'S.S.D.S.MENS SANA (SI)', 'tempo': '', 'punti': ''}",,"{'classifica': '25', 'pettorina': '221', 'squadra': 'S.S.D.S.MENS SANA (SI)', 'tempo': '01.36.848', 'punti': ''}",,,,,,,,,,,,,"{'classifica': '53', 'pettorina': '221', 'squadra': 'S.S.D.S.MENS SANA (SI)', 'tempo': '', 'punti': ''}",,,"{'classifica': '28', 'pettorina': '221', 'squadra': 'S.S.D.S.MENS SANA (SI)', 'tempo': '40.229', 'punti': ''}","{'classifica': '11', 'pettorina': '221', 'squadra': 'S.S.D.S.MENS SANA (SI)', 'tempo': '', 'punti': '3'}","{'classifica': '32', 'pettorina': '221', 'squadra': 'S.S.D.S.MENS SANA (SI)', 'tempo': '', 'punti': ''}",,,,,,,,,,,,,,,,,,"{'classifica': '22', 'pettorina': '221', 'squadra': 'S.S.D.S.MENS SANA (SI)', 'tempo': '01.47.967', 'punti': ''}","{'classifica': '3', 'pettorina': '221', 'squadra': 'S.S.D.S.MENS SANA (SI)', 'tempo': '', 'punti': '13'}",,
